jp	en	romanji	tags												
ちょうせんご	Korean [language]	South Korean [language]	chōsengo	kankokugo											
Media															
ほん	book	hon													
かみ	paper	kami													
てがみ	letter	tegami													
しんぶん	newspaper	shinbun													
じしょ	dictionary	jisho													
パソコン – personal computer	pasokon														
															
いろ	color	iro	color												
あか	red	aka	color												
きいろ	yellow	kiiro	color												
みどり	green	midori	color												
あお	blue	ao	color												
むらさき	purple	murasaki	color												
しろ	white	shiro	color												
くろ	black	kuro	color												
ピンク	pink	pinku	color												
ちゃいろ	brown	chairo	color												
はいいろ	grey	haiiro	color												
オレンジ	orange	orenji	color												
															
え	picture	e													
おんがく	music	ongaku													
りか	science	rika													
さんすう	arithmetic	sansū													
れきし	history	rekishi													
ちり	geography	chiri													
たいいく	physical education	taiiku													
スポーツ – sport	supōtsu														
システム – system	shisutemu														
じょうほう	information	news	jōhō												
ひつよう	necessity	hitsuyō													
べんきょう	study	benkyō													
いらい	request	irai													
Numbers															
れい	zero	rei	zero												
いち	one	ichi													
に	two	ni													
さん	three	san													
よん	four	yon	shi												
ご	five	go													
ろく	six	roku													
なな	seven	nana	shichi												
はち	eight	hachi													
きゅう	nine	kyū	ku												
じゅう	ten	jū													
ひゃく	hundred	hyaku													
せん	thousand	sen													
まん	ten thousand	man													
おく	one hundred million	oku													
ひとつ	one	one thing	hitotsu												
ふたつ	two	two things	futatsu												
みっつ	three	three things	mittsu												
よっつ	four	four things	yottsu												
いつつ	five	five things	itsutsu												
むっつ	six	six things	muttsu												
ななつ	seven	seven things	nanatsu												
やっつ	eight	eight things	yattsu												
ここのつ	nine	nine things	kokonotsu												
とお	ten	ten things	tō												
Abstract nouns															
これ – this	it	kore													
それ – that	sore														
あれ – that over there	are														
どれ – which	dore														
こちら	this direction	thing	person	or place	kochira	kocchi									
そちら	that direction	thing	person	or place	sochira	socchi									
あちら	that direction	thing	person	or place over there	achira	acchi									
どちら	which direction	thing	person	or place	dochira	docchi									
ひみつ	secret	himitsu													
じどう	automatic	jidō													
ないよう	content	naiyō													
はば	width	breadth	free room	difference	between two substances)	haba									
せいしき	formality	seishiki													
けっこん	marriage	kekkon													
げんざい	now	genzai													
いま	now	ima													
かこ	past	kako													
みらい	future	mirai													
															
															
いい	good	ii	adjective												
すごい	amazing	sugoi	adjective												
すばらしい	wonderful	subarashii	adjective												
わるい	bad	warui	adjective												
たかい	expensive	takai	adjective												
ひくい	low	hikui	adjective												
やすい	cheap	yasui	adjective												
おおきい	big	ōkii	adjective												
ちいさい	small	chiisai	adjective												
ほそい	thin	hosoi	adjective												
ふとい	thick	futoi	adjective												
ふるい	old	furui	adjective												
あたらしい	new	atarashii	adjective												
わかい	young	wakai	adjective												
かるい	light/easy	karui	adjective												
おもい	heavy	omoi	adjective												
やさしい	easy/simple	yasashii	adjective												
むずかしい	difficult	muzukashii	adjective												
やわらかい	soft	yawarakai	adjective												
かたい	hard	katai	adjective												
あつい	hot	atsui	adjective												
つめたい	cold	tsumetai	adjective												
さむい	cold	samui	adjective												
おいしい	delicious	oishii	adjective												
うまい	delicious	umai	adjective												
まずい	tastes awful	mazui	adjective												
あまい	sweet	amai	adjective												
からい	hot [spicy]	karai	adjective												
しょっぱい	salty	shoppai	adjective												
にがい	bitter	nigai	adjective												
うつくしい	beautiful	utsukushii	adjective												
															
うれしい	happy	ureshii	feeling												
たのしい	fun	tanoshii	feeling												
かなしい	sad	kanashii	feeling												
さびしい	lonely	sabishii	feeling												
さみしい、寂しい、淋しい - sad	lonely	samishii	feeling												
こわい	scary	kowai	feeling												
いたい	painful	itai	feeling												
かゆい	itchy	kayui	feeling												
くさい	stinky	kusai	feeling												
つらい	heart-breaking	tsurai	feeling												
															
する – to do		suru													
やる – to do		yaru													
Existence															
いる – to exist [for animate objects]	iru														
ある – to exist [for inanimate objects]	aru														
なる – to become	naru														
おこる	to occur	okoru													
あらわれる	現れる – to appear	arawareru													
いきる	to live	ikiru													
うむ	to give birth	umu													
しぬ	to die	shinu													
こわれる	壊れる – to breakin	kowareru													
in intransitive sense															
Movement															
いく	to go	iku													
くる	to come	kuru													
かえる	to return	kaeru													
あるく	to walk	aruku													
とぶ	to jump	to fly	tobu												
およぐ	to swim	oyogu													
Actions															
うごく	to movein	ugoku													
おどる	to dance	odoru													
ねる	to sleep	neru													
うたう	to sing	utau													
かむ	to bite	kamu													
たべる	to eat	taberu													
のむ	to drink	nomu													
さわる	to touch	sawaru													
なげる	to throw	nageru													
もつ	to hold	motsu													
うつ	to hit	to strike	utsu												
なぐる	to hit	to strike	naguru												
さす	to point	sasu													
さす	to stab	sasu													
さす	to raise or extend one's hands	sasu													
ける	to kick	keru													
すわる	to sit	suwaru													
たつ	to stand	tatsu													
はしる	to run	hashiru													
Changes of state															
あく	空く – to become unoccupied	aku													
こむ	込む – to be crowded	komu													
いる	要る – to need	iru													
かわく	乾く – to become dry	kawaku													
みだす	乱す - to disturb	to disarrange	midasu												
みだれる	乱れる - to be disturbed	to become confused	midareru												
つかえる	仕える - to serve	to work for	tsukaeru												
そなわる	備わる - to be furnished with	sonawaru													
すぐれる	優れる - to excel	to surpass	sugureru												
ひえる	冷える - to grow cold	to get chilly	to cool down	hieru											
さめる	覚める - to wake	to become sober	to be disillusioned	sameru											
さめる	冷める - to cool down	sameru													
むく	向く - to face	to turn toward	muku												
たおれる	倒れる - to fall	to collapse	taoreru												
かたまる	固まる - to harden	to solidify	to become firm	katamaru											
うまる	埋まる - to be filled	to be surrounded	to overflow	umaru											
うもれる	埋もれる - to be buried	to be covered	umoreru												
ます	増す - to increase	to grow	masu												
ふえる	増える - to increase	to multiply	fueru												
へる	減る - to decrease	heru													
はずれる	外れる - to deviate	hazureru													
ふとる	太る - to grow fat	futoru													
はじまる	始まる - to begin	hajimaru													
おわる	終わる - to finish	to close	owaru												
きめる	決める - to decide	kimeru													
Senses															
みる	to see	miru													
きく	to hear	to listen	kiku												
さわる	to touch	to feel	sawaru												
かぐ	to smell	kagu													
Speech															
いう	to say	iu													
はなす	to speak	hanasu													
かたる	to tell	kataru													
かく	to write	kaku													
よむ	to read	yomu													
Work															
つかう	to use	tsukau													
つくる	to make	tsukuru													
なおす	to fix	repair	naosu												
すてる	to discard	throw away	suteru												
とる	to take	toru													
おく	to put	oku													
Emotions															
かなしむ	to be sad	kanashimu													
なく	to cry	naku													
わらう	to laugh	warau													
おこる	to be angry	okoru													
ほめる	to encourage	homeru													
しかる	to scold	shikaru													
よろこぶ	to celebrate	to be jubilant	to have joy	to have delight	to have rapture	yorokobu									
よろこび	joy	delight	rapture	yorokobi											
なぐさめる	to console	to consolate	to provide empathy	nagusameru											
あきる	to be disinterested	to be bored	to be tired of	to be weary	akiru										
おどろく	to be astonished	to be surprised	to be scared	odoroku											
Activities															
あう	to meet	to interview	au												
あける	to opentr	to unwraptr	akeru												
あそぶ	to play	asobu													
あつまる	to gatherin	atsumaru													
うる	to sell	uru													
える	to obtain [some benefit or knowledge]	eru													
おる	to breaktr	to foldtr	oru												
かう	to buy	kau													
きる	to cut	kiru)													
きる	to wear [on the upper body]	kiru													
はく	to wear [on the lower body]	haku													
かえる	to changetr	kaeru													
かえる	to exchange	to substitute	to replace	kaeru											
しめる	to closetr	shimeru													
しめる	to tie	to fasten	shimeru												
しめる	to comprise	to account for	shimeru												
しる	to know	shiru)													
つかれる	to get tired	tsukareru													
でかける	to go out	to depart	dekakeru												
はたらく	to work [e.g.	at a job]	hataraku												
はなす	to let go of	hanasu													
やすむ	to rest	to take a break	to go to bed	yasumu											
わかれる	to split intoin	to be divided	wakareru												
わかれる	to partin	to separatein	to break upin	wakareru											
															
															
															
Adverbs															
もう – already	mō														
まだ – still	yet	mada													
ずっと – always	zutto														
とても – very	totemo														
こう – like this	kō														
そう – like that	sō														
ああ – in that other way	ā														
どう – how	dō														
しばしば – often	shibashiba														
Pre-noun adjectival															
この – this	kono														
その – that	sono														
あの – that	ano														
どの – which	dono														
Interjections															
はい – yes	hai														
いいえ – no	iie														
Conjunctions															
でも - but	demo														
しかし – but	however	shikashi													
そして – and then	Then…	soshite													
それに – besides	soreni														
なぜなら – that is because	being because	nazenara													
Terminations of verbs															
う	volitional ending [う for u-verbs	" よう for ru-verbs]: ""Let's…"" or ""I will"""	u	yō											
せる	causative ending [せる for u-verbs	させる for ru-verbs]: to make [someone do something]	to allow	seru	saseru										
